,id,question,A,B,C,D,answer
18,Mercury_SC_405129,"A student in an empty classroom shouts, ""Hello!"" Which best explains what the student hears after the shout?",an increased loudness of sound,a reflection of sound,an increased frequency of sound,a refraction of sound,B
19,NYSEDREGENTS_2011_8_4,Which type of energy in gasoline is transformed into mechanical energy in a motorcycle engine?,chemical,nuclear,magnetic,electrical,A
20,Mercury_SC_406063,A student standing near a campfire feels warmer as the fire grows. Which process most likely transfers heat from the campfire to the student?,conduction,convection,radiation,transformation,C
21,Mercury_412056,"In snapdragon plants, red flowers are dominant to white flowers. When red-flowered plants are crossed with white-flowered plants, pink flowers are produced. If a researcher wants to produce plants with only white flowers, what color should the parent plants be?",both red,both white,one red and one white,one white and one pink,B
22,Mercury_7016590,"Scientists use the term ""light year"" to describe",how fast light travels in space.,the distance light travels in one year.,how large the diameters of different stars are.,the time it takes the Sun to move through the galaxy.,B
23,Mercury_7148628,Plate movement can form different features on Earth. The movement of tectonic plates can be both a constructive and a destructive force. At which type of plate boundary is new crust formed?,convergent,subduction,transform,divergent,D
24,NYSEDREGENTS_2007_8_7,Which group of organisms can show significant trait changes in the shortest period of time?,bacteria,birds,fish,reptiles,A
25,CSZ10336,Peach trees have sweet-smelling blossoms and produce rich fruit. What is the main purpose of the flowers of a peach tree?,to attract bees for pollination,to create flower arrangements,to protect the tree from disease,to feed migratory birds,A
26,Mercury_7109393,A group of students are researching changes in climate in their region. Which of these would best provide evidence of changes in temperature and rainfall over a period of years?,tree rings,pollen samples,harvest production,carbon dating,A
27,Mercury_SC_LBS10953,Which of these would help to prevent infections from occurring in small cuts and scrapes?,apply a cold ice pack,raise the injured area,apply pressure to stop bleeding,"wash the area with warm, soapy water",D
28,NCEOGA_2013_5_8,Which best describes why winds at the beach change direction between day and night?,because the temperatures over land and over water change,because warm air over land sinks and stays in place over land,because cool air rises and is replaced by warm air from the ocean,because cool air sinks and stays in place over land,A
29,Mercury_7017763,Soil erosion can be best prevented by,removing grass from the steepest slope.,building terraces into the sides of a slope.,heavily watering the vegetation on the slope.,increasing the slope of the land by adding more soil.,B
30,MCAS_1999_4_29,Which of the following properties provides the BEST way to identify a mineral?,hardness,shape,size,temperature,A
31,NYSEDREGENTS_2011_8_20,Which sequence represents the order of development for many plants?,seed develops inside fruit -> seed is dispersed -> seed germinates -> plant grows,seed is dispersed -> seed develops inside fruit -> seed germinates -> plant grows,seed germinates -> plant grows -> seed is dispersed -> seed develops inside fruit,seed is dispersed -> plant grows -> seed germinates -> seed develops inside fruit,A
32,VASoL_2009_5_4,"When ice cream is left out of a freezer, the ice cream changes from a ___.",solid to a gas,gas to a liquid,solid to a liquid,liquid to a gas,C
33,NYSEDREGENTS_2005_8_9,Which equipment will best separate a mixture of iron filings and black pepper?,magnet,filter paper,triple-beam balance,voltmeter,A
34,NAEP_2011_8_S11+3,Which characteristic is shared by all cells?,They need energy.,They reproduce sexually.,They make their own food.,They move from place to place.,A
35,Mercury_7018305,"On a small, isolated island, a hurricane destroyed all the trees that produced a large, hard-shelled nut. Which bird population would most likely decrease?","birds with long, probing beaks","birds with thick, strong beaks","birds with thin, short beaks","birds with large, pouch beaks",B
36,Mercury_7145250,"A cow and a frog have similar bone structures in their forelimbs. Both have phalanges, radius, ulna, and humerus bones. However, the cow and frog are animals with very different life cycles from each other. Which most likely describes why the body structures of these animals are so similar?",Both have undergone similar mutations.,Both descended from a common ancestor.,Both reacted similarly to environmental pressures.,Both spread out from the same geographical region.,B
37,Mercury_7220903,A cell that is unable to import substances required to process chemical energy is most likely a result of a malfunctioning,cell membrane.,endoplasmic reticulum.,Golgi body.,nuclear envelope.,A
38,Mercury_SC_416457,Which best describes all unicellular organisms?,Every cell is round.,Every cell can make food.,Every cell can move on its own.,Every cell performs all life functions.,D
39,Mercury_7015313,"When a transverse wave passes from right to left through a medium, what happens to the particles of the medium?",Particles travel from right to left along the wave.,Particles travel from left to right along the wave.,Particles move back and forth parallel to the wave.,Particles move back and forth perpendicular to the wave.,D
40,Mercury_7001663,Which characteristic below most likely accounts for our limited knowledge of galaxies?,their tiny size,their magnetic cores,their inability to produce light,their great distance from Earth,D
41,Mercury_7172778,Decomposers increase the fertility of the soil and prevent dead organisms from building up in the environment. In which way do decomposers make the soil more fertile?,by adding carbon,by adding nitrogen,by removing excess water,by removing excess minerals,B
42,Mercury_7024168,"When oxygen combines with hydrogen, which substance is formed?",water,vinegar,hydrochloric acid,hydrogen dioxide,A
43,Mercury_7150360,"When plants undergo photosynthesis, a reaction produces sugar, oxygen, and water. During respiration, stored energy from the products of photosynthesis is converted to usable energy. In what form is the energy stored prior to use in respiration?",chemical energy,kinetic energy,light energy,heat energy,A
44,Mercury_7071558,Which of the following is a typical example of a unicellular organism?,earthworm,bacteria,fungi,green algae,B
45,Mercury_7245403,"Over geologic time, global mean sea level has varied significantly. Which change is most likely responsible for an increase in global mean sea level?",erosion of sediment from a mountain range,mass extinction of marine organisms,formation of an ocean trench,melting of polar ice caps,D
46,Mercury_SC_401822,Which body system is most responsible for the removal of waste?,skeletal system,nervous system,muscular system,excretory system,D
47,OHAT_2007_8_23,In which environment is white fur color an advantage for survival?,desert,grassland,arctic tundra,temperate forest,C
48,Mercury_7212380,Which of these will best separate iron filings from sand?,water,a magnifying glass,a magnet,rubbing alcohol,C
49,Mercury_414132,Which of these is the chemical symbol for magnesium?,Ma,Mg,Mn,Mu,B
50,Mercury_7121800,Which of the following is most likely to lead to error in an experiment?,bias,repeated trials,peer review,use of a control,A
51,MCAS_2001_8_2,Which best describes transportation technology?,a system that is used to move people and products,an enterprise that changes raw materials into goods,the building and finishing of structures,the conversion of mechanical energy into heat energy,A
52,Mercury_7121765,"In a gasoline-powered car, chemical energy from gasoline is transformed to make the car move. The motion of the car is what form of energy?",radiant energy,nuclear energy,electrical energy,mechanical energy,D
53,Mercury_7011165,Which characteristic is affected by interactions with the environment?,weight,eye color,blood type,handedness,A
54,Mercury_7033793,Which is the greatest impact humans have had on the carbon cycle?,clear-cutting forests,manufacturing plastics,burning fossil fuels,growing agricultural crops,C
55,Mercury_SC_400301,The floating arrow on a compass always points towards the,west.,east.,south.,north.,D
56,NYSEDREGENTS_2016_4_21,"Which color shirt will reflect the most light on a hot, sunny day?",black,blue,red,white,D
57,MCAS_2005_9_13,"A 10 g sample of aluminum and a 10 g sample of iron were each heated by 100 joules of energy. The temperature of the aluminum sample rose 11°C, while the temperature of the iron sample increased 23°C. Which statement best accounts for these results?",Iron is twice as dense as aluminum.,Atoms of aluminum are smaller than atoms of iron.,Using equal masses results in similar heat capacities.,The specific heat of iron is less than that of aluminum.,D
58,MCAS_1999_4_31,"If its food supply in a field decreases, the mouse population in that field will probably",increase.,decrease.,remain the same.,become extinct.,B
59,Mercury_7234413,Overuse of soil for farming causes local disruptions of several Earth subsystems. Which of these is a part of the biogeochemical cycle that experiences the most severe local disruption?,release of carbon into the atmosphere,release of oxygen into the atmosphere,cycling phosphorus into the soil,cycling hydrogen into the soil,C
60,MCAS_2007_8_5167,Which of the following is an example of a physical change but not a chemical change?,A log gives off heat and light as it burns.,A tree stores energy from the Sun in its fruit.,A penny lost in the grass slowly changes color.,A water pipe freezes and cracks on a cold night.,D
61,Mercury_7080938,"While conducting an investigation on refraction, a teacher uses a red laser pointer to show how a beam of light is affected as it passes through several glass objects. The teacher should make sure that the",room is totally dark.,light source is ultraviolet.,beam of light does not travel toward the students.,room walls are shielded with insulating material.,C
62,Mercury_SC_408443,One student wrote a report about an investigation in which fertilizer was added to tomato plants. Which information from that student's report would most help a second student repeat the investigation?,the amount of fertilizer added,the height of the fertilized plants,the size of each tomato produced,the number of tomatoes produced,A
63,VASoL_2007_3_5,A student wants to look under a heavy rock. Which simple machine would be BEST to use to lift the rock?,Wheel and axle,Lever,Inclined plane,Screw,B
64,Mercury_403680,Rust is a compound with the formula Fe_{2}O_{3}. Which elements combine to form rust?,iron and water,iron and oxygen,iron and air,iron and acid,B
65,Mercury_400223,The chemical equation below shows a reaction of copper (Cu) with silver nitrate (AgNO_{3}) yielding silver (Ag) and copper(II) nitrate (Cu(NO_{3})_{2}) Cu + 2AgNO_{3} -> 2Ag + Cu(NO_{3})_{2} Silver and copper(II) nitrate are called the,reactants.,products.,catalysts.,inhibitors.,B
66,Mercury_184625,What role does the centromere play in cellular reproduction?,It is the area where microtubules are formed.,It is the area where the nucleus is during cell division.,It is the area of alignment for the chromosomes.,It is the area of attachment for chromatids.,D
67,MCAS_2005_8_14,"If 1 kg of the compound toluene melts at -95°C, then 500 g of toluene will",melt at -47.5°C.,melt at -95°C.,boil at 95°C.,boil at 47.5°C.,B
68,Mercury_409478,"A calculation based on the chemical energy of gasoline shows that a car should be able to go 100 miles on a gallon of fuel. When the car was driven on a test track, the car only went 25 miles on a gallon of fuel. What accounts for most of the difference?",the mass of the driver and the fuel carried by the car,the wind resistance between the car and the air nearby,the waste heat from the combustion of fuel in the engine,the friction between the tires and the surface of the track,C
69,Mercury_7038325,A student wants to find the relationship between the diameter of several plastic disks and the circumference of each disk. Which of these types of graphs should be constructed to determine this relationship?,pie graph,line graph,scatterplot,box-and-whisker plot,B
70,Mercury_SC_402624,"When light is bounced off a mirror, the light is",reflected.,refracted.,absorbed.,diffracted.,A
71,Mercury_185430,Which of the following sentences best explains what happens when puddles evaporate?,The water absorbs into the ground.,The particles of matter move more slowly.,The water changes from one form to another.,The particles of matter move closer together.,C
72,Mercury_SC_416101,Plants on hills keep dirt in place during a rain storm. Plant roots grow into the dirt and keep the dirt from moving. Why do roots grow into the dirt?,to release gases,to release water,to absorb energy,to absorb nutrients,D
73,NYSEDREGENTS_2007_8_12,"In animal skin tissue, cell division is responsible for",growth and repair,sexual reproduction,obtaining energy,production of sex cells,A
74,Mercury_7239680,Which process drives most of the ATP synthesis in a chloroplast?,flow of protons across an electrochemical gradient,flow of tRNA across an electrochemical gradient,exposure of ADP to electromagnetic waves,exposure of carbohydrates to electromagnetic waves,A
75,NAEP_2000_8_S21+9,Which of the following is most consistent with the modern theory of evolution?,Parents pass their physical traits to their offspring; those offspring with traits that help them survive in the environment are able to reproduce.,"Parents change their physical traits in order to survive in the environment, then those parental traits are passed to their offspring.",Life on this planet came from another planet far out in space.,Living organisms have not changed for hundreds of millions of years.,A
76,Mercury_7164115,Felicia investigated whether water color affected how fast the water heated in sunlight. She poured tap water into five beakers and placed food coloring in four out of the five beakers. Felicia then used a thermometer to measure the temperature of the water in each of the beakers. Which of these was used as control in her investigation?,mixing the food coloring in water,testing the beaker of uncolored tap water,using the same amount of water in each trial,testing the colored water samples at different times,B
77,Mercury_7085365,One process in the formation of sedimentary rocks is when rocks are,compressed by moving plates.,heated and subjected to high pressure.,broken up and deposited in layers.,moved up along fault planes.,C
78,AIMS_2008_4_12,Western coral snakes have a striped color pattern and are poisonous. Arizona mountain king snakes look like western coral snakes but are not poisonous. The color pattern of the Arizona mountain king snake is an example of,camouflage.,mimicry.,mutualism.,parasitism.,B
79,Mercury_400056,Which plant trait is inherited?,the shape of its leaves,the amount of water it receives,the number of minerals it absorbs from soil,the level of sunlight to which it is exposed,A
80,Mercury_SC_406463,"A student put 200 milliliters (mL) of water into a pot, sets the pot on a burner, and heats the water to boil. When the pot is taken off the burner, it contains only 180 milliliters (mL) of water. What happened to the rest of the water?",It was used up.,It condensed.,It was absorbed by the heat.,It turned into water vapor.,D
81,Mercury_SC_408702,Howie put his plants under a plant light. What was he helping his plants do by providing light?,make food,attract insects,release pollen,grow roots,A
82,Mercury_406518,Which lists the diameter of the planets in order from smallest to largest?,"Venus, Earth, Mercury, Mars","Earth, Mars, Venus, Mercury","Mars, Mercury, Earth, Venus","Mercury, Mars, Venus, Earth",D
83,Mercury_SC_410872,The aloe plant can absorb a lot of water during a rain shower. The extra water is stored in its leaves. The ability to store water in its leaves is most likely an adaptation to which type of environment?,one near the ocean,one with dry conditions,one with a variety of organisms,one that receives a lot of sunlight,B
84,Mercury_7107258,"When stratospheric ozone levels are reduced, the amount of ultraviolet radiation hitting Earth increases. Ozone depletion is most often caused",by the reversal of the magnetic field of Earth.,when fluorocarbons are released into the atmosphere.,when electromagnetic waves from the Sun increase.,by abrupt changes in weather and climate patterns.,B
85,MCAS_2010_5_11992,Owen tested a physical property of a mineral. He rubbed a mineral sample on a piece of white tile. The mineral left a red mark on the tile. Which of the following physical properties of the mineral was Owen most likely testing?,cleavage,hardness,luster,streak,D
86,TIMSS_2011_4_pg91,Which of these animals has a young form that looks the most like the adult form?,moth,human,frog,butterfly,B
87,Mercury_7093275,Two tectonic plates pushing toward each other cause intense heat and pressure in Earth's crust. Into which will crust material be changed by heat and pressure?,fossils,sediments,igneous rock,metamorphic rock,D
88,Mercury_7083493,A student states that plants grow taller when grown in natural light than they do in artificial light. Which method is the best way to determine if the statement is fact or opinion?,conduct a controlled experiment,discuss the statement with other students,ask several teachers their thoughts,propose a scientific conclusion,A
89,Mercury_SC_401793,Which object is powered by an electrical circuit?,a drum,a flashlight,a matchstick,a wind-up toy,B
90,Mercury_7245560,"Which concept supports the endosymbiotic origin of complex, eukaryotic double-membrane structures?",Mitochondria and chloroplasts arise from preexisting mitochondria and chloroplasts.,Mitochondria and chloroplasts arise from preexisting endomembrane systems.,Mitochondria and chloroplasts are synthesized in the nucleus.,Mitochondria and chloroplasts are synthesized in ribosomes.,A
91,VASoL_2010_5_1,Which of these human activities most relies on high-quality soil?,Hiking,Hunting,Coal mining,Growing crops,D
92,Mercury_SC_415075,What is an example of a shelter in an ecosystem?,a gray squirrel eating an acorn,a raccoon in a hollow log,a blue whale migrating,a tick feeding on a coyote,B
93,Mercury_7026408,Some areas of the world are experiencing more desert-like conditions. This change most favors survival of species with the ability to do which of the following?,consume large amounts of food,become dormant for long periods,sense infrared and ultraviolet light,transpire water through the skin to the atmosphere,B
94,NAEP_2009_4_S11+2,Roger poured water over a pile of sand. Some of the sand washed away. This process is similar to which of the following?,The eruption of a volcano,The erosion of the walls of a canyon,The uplifting of mountain ranges,The forming of dunes or mounds in a desert,B
95,Mercury_7081428,"When an earthquake wave passes from the crust to the mantle, the wave",reverses direction.,changes speed.,increases energy.,stops moving.,B
96,OHAT_2008_5_20,A student wraps a wire around an iron nail. The student then connects the wire to a battery. The nail attracts another nail and they stick together. What force holds the two nails together?,gravitational force,magnetic force,electric force,friction force,B
97,MSA_2015_5_8,Natural processes cause rapid and slow changes to Earth's surface. Which event causes changes to Earth's surface most rapidly?,an earthquake shaking the ground,sediment washing into a bay,a rainstorm weathering rock,water flowing in stream,A
98,Mercury_7219135,"Since 1961, Nevada has led the United States in production of which resource?",gold,uranium,lumber,iron,A
99,Mercury_SC_407594,A class is testing the effect of exercise on heart rate. The heart rate of two students before exercise is compared to their heart rate after running around a track. Which procedure will most likely help the class correctly compare the results of the two students?,test students who are the same height,have the students run on the same day,measure the distance each student runs,have the students run for the same amount of time,D
100,Mercury_7043505,Which interaction within an ecosystem is characterized by gradual change from one community of organisms to another?,symbiosis,food webs,energy pyramids,succession,D
101,Mercury_SC_401733,The continuous changes of a seed to an adult plant that produces seeds is known as a,lunar cycle.,weekly cycle.,daily cycle.,life cycle.,D
102,Mercury_SC_402087,"When someone plays the flute, sound is produced because the air in the flute is",hot.,neutral.,vibrating.,vaporizing.,C
103,MSA_2015_5_24,Scientists compared Pluto with other objects in the solar system and found that Pluto is smaller than Earth's moon. This finding caused scientists to question whether Pluto is a planet because,Pluto gets less sunlight than Earth's moon,the other planets are much larger than Pluto,the other planets have moons and Pluto does not,Pluto rotates on its axis and the other planets do not,B
104,Mercury_SC_401233,"When an iron nail wrapped in a copper wire is attached to a circuit, it forms",a battery.,an engine.,an insulator.,an electromagnet.,D
105,Mercury_7217788,Which gas accounts for the largest percentage of greenhouse gases in the atmosphere?,carbon monoxide,carbon dioxide,nitrous oxide,water vapor,D
106,ACTAAP_2007_7_20,Which human body system attacks viruses and bacteria once they have invaded the body?,circulatory,endocrine,digestive,immune,D
107,Mercury_7221165,The atoms that make up oxygen gas,share two covalent bonds.,have a definite shape.,share a pair of neutrons.,have two free electrons.,A
108,VASoL_2007_3_36,A student wants to cut a piece of string for a class activity. The length of the string is measured BEST in which units?,Gallons,Liters,Miles,Centimeters,D
109,Mercury_400498,"If the atomic mass number of an atom is 35, which statement is most accurate?",The atom is not an isotope.,The atomic number is less than 17.,The atom has an odd number of neutrons.,The number of protons does not equal the number of neutrons.,D
110,Mercury_7188388,Biotic components need to be recycled through an ecosystem. Which type of organisms are best able to recycle nutrients back into the ecosystem?,decomposers,predators,producers,scavengers,A
111,Mercury_7136115,"Roger visited his grandfather who lives on a farm. While he was there, he helped his grandfather move hay out of the barn. As Roger worked in the barn he began sneezing. Which system of the body most likely caused Roger to sneeze?",circulatory,excretory,digestive,immune,D
112,ACTAAP_2013_7_9,Why should plants be included in investigations about the water cycle?,Plants speed up the water cycle by removing carbon from the air.,Plants start the water cycle when they make water in photosynthesis.,Plants are part of the water cycle through the process of transpiration.,Plants stop the water cycle because they absorb it and stop the flow to streams.,C
113,AKDE&ED_2012_4_19,Which statement best identifies a basic need of all animals?,They need to eat.,They need to hide.,They need to jump.,They need to smell.,A
114,MCAS_2016_5_13,Which of the following describes an instinctive behavior?,a behavior that occurs only in adult fish,a behavior that occurs only in small mammals,a behavior that an animal learns how to do over time,a behavior that an animal is born knowing how to do,D
115,Mercury_7267873,Which of these provide the best evidence that life could develop on Mars?,its atmospheric gases,its surface temperatures,its craters and rocky surface,its ice and organic molecules,D
116,Mercury_SC_407162,The primary reason that plants are important for an ecosystem is because they,provide energy for consumers.,depend on other organisms for shelter.,break down dead animal matter.,consume nutrients for energy.,A
117,Mercury_7008890,Energy from the Sun reaches Earth by,radiation.,conduction.,convection.,thermal expansion.,A
118,Mercury_7235900,Scientists study the current conditions of many solar system objects to gain insight into conditions early in the history of Earth. Which phenomenon most closely models current theories of early Earth?,liquid forming valleys on Mars,hundreds of active volcanoes on Io,rock and ice forming the core of Neptune,ice covering the entire surface of Europa,B
119,Mercury_SC_408323,"Jonathan places a pot of water on a stove. As the water boils, how does the state of the water change?",from gas to liquid,from liquid to gas,from liquid to solid,from solid to liquid,B
120,Mercury_404795,Animal cells obtain energy by,processing sunlight.,absorbing nutrients.,growing.,dividing.,B
121,Mercury_7071628,Which illness is associated with a weakened immune system in the body?,tetanus,cancer,measles,rabies,B
122,Mercury_7183645,"In the human kidney, urea from the blood is filtered through the glomerular membrane into a nephron. The movement of urea across this membrane occurs without an input of energy. Which factor is the most likely reason urea absorption does not require energy?",a pH imbalance,a pressure difference,a temperature increase,a concentration gradient,D
123,Mercury_7115448,The greatest amount of diversity can be found among which type of organism?,plants,animals,bacteria,fungi,C
124,Mercury_7223125,Which energy type is common enough in Nevada to make a significant contribution to the renewable energy needs of the state?,coal,geothermal,natural gas,petroleum,B
125,Mercury_7207428,"Until recently the Grand Canyon was thought to be about 5-6 million years old. Recently a scientist gathered data and wrote a paper for a scientific journal that indicated the canyon is about 17 million years old. Before this new information about the canyon is accepted, which of these needs to occur?",The scientist needs to publish additional papers.,The scientist needs to obtain government support.,Other scientists need to state their beliefs.,Many scientists need to evaluate the data.,D
126,Mercury_SC_400220,Which human trait is most likely inherited from a parent?,learning to ride a bike,holding a spoon,reading a book,height,D
127,MCAS_2005_9_2,Foam weather stripping is often placed in the frames of doors and windows in a home. What is the purpose of this weather stripping?,The weather stripping increases heat transfer by radiation.,Heat is conducted quickly through the weather stripping.,The weather stripping reduces heat loss due to convection.,Heat can transfer through the weather stripping due to reflection.,C
128,NYSEDREGENTS_2004_8_1,The items listed below were found in a science classroom. * a heart made of plastic with many of its parts labeled * clay formed to look like Earth and other planets * a giant plastic plant cell with removable cell parts These items are all examples of,models,experiments,variables,controls,A
129,MCAS_2008_8_5701,"For a technology project, Kyle came up with an idea to build a model bridge. He wants his bridge to span 50 cm and to support a 1 kg object. According to the engineering design process, which of the following should be Kyle's next step?",construct prototypes of different kinds of bridges,research the different designs of bridges,gather the materials needed to build the bridge,make a drawing to show how to build the bridge,B
130,TIMSS_2011_8_pg118,Light travels fastest through which of the following?,air,glass,water,a vacuum,D
131,Mercury_SC_408414,Different systems of the human body perform different functions. Which system takes oxygen from the air to be moved by the circulatory system?,the respiratory system,the digestive system,the nervous system,the skeletal system,A
132,MCAS_2004_5_4,A solar cell turns sunlight into another form of energy. A solar cell is most like what natural structure?,an elephant's ears,a plant's leaves,a deer's hooves,a tree's roots,B
133,MCAS_2012_5_18,"The Sun appears to move across the sky each day, rising in the east and setting in the west. What causes this apparent motion?",the rotation of Earth on its axis,the revolution of the Sun around Earth,the Earth’s distance from the Sun,the properties of Earth’s atmosphere,A
134,OHAT_2009_5_44,What causes a blue block to appear blue in the sunlight?,The block absorbs all blue light.,The block bends (refracts) all blue light.,Only blue light is reflected by the block.,Only blue light passes through the block.,C
135,Mercury_7121958,A student determined the density of different bars of soap. Which should the student most likely do to check the accuracy of the results?,complete the experiment in one day,test multiple brands of soap,record data in metric units,repeat the experiment,D
136,Mercury_SC_400024,"Which method below would be the best way to determine if an egg, plastic foam, a piece of wood, or a candle would float on water?",observing each object in water,measuring the size of each object,calculating the weight of the objects,comparing the shapes of the objects,A
137,Mercury_SC_405024,Liam lives in the Northern Hemisphere of Earth and plays in the snow in December. His friend lives in the Southern Hemisphere of Earth and plays at the beach in December. What is the best explanation for why this is possible?,tilt of Earth on its axis,rotation of Earth on its axis,revolution of Earth around the Sun,revolution of the Moon around Earth,A
138,CSZ_2004_5_CSZ10300,A scientist needs to take a picture of the well-ordered arrangements of the atoms and molecules within a substance. Which of the following instruments would be best for the scientist to use?,a laser light with holograph.,a seismograph.,an electron microscope.,a stereoscope.,C
139,Mercury_7212433,Gold atoms can be identified based on the number of which subatomic particles?,neutrons,electrons,nuclei,protons,D
140,Mercury_SC_402050,Which is needed for both boiling and melting to occur?,solids,gases,heat,pressure,C
141,NAEP_2005_8_S11+15,Which of the following is an example of genetic engineering?,Growing a whole plant from a single cell.,Finding the sequences of bases in plant DNA.,Inserting a gene into plants that makes them resistant to insects.,Attaching the root of one type of plant to the stem of another type of plant.,C
142,MCAS_2009_8_8,Which of the following is an example of a container that is filled with a pure substance rather than with a mixture?,a tire filled with air,a jar filled with salt water,a balloon filled with helium,a glass filled with chocolate milk,C
143,CSZ_2006_5_CSZ10326,Which best describes the role of the esophagus in digestion?,It releases acid and mixes food.,It aids in absorption of nutrients from food.,It carries food from the mouth to the stomach.,It carries food from the stomach to the intestines.,C
144,AKDE&ED_2012_4_46,Which change is most likely caused by a thunderstorm?,a glacier moving,a stream flooding,a volcano erupting,a mountain forming,B
145,Mercury_7213938,Which is an example of an organism that has been selectively bred for a particular genetic trait?,cats that eat mice,cows that graze on grass,pigs that form large herds,chickens that lay large eggs,D
146,Mercury_7033618,"Which of these can be described as a system of stars, gases, dust, and other matter that orbits a common center of gravity?",an asteroid,a galaxy,a nebula,a comet,B
147,Mercury_7144743,"The Florida Bog Frog (Lithobates okaloosae) inhabits shallow stream overflows in three counties in Florida. With such a small geographic habitat, any change in the frog's environment could cause drastic changes in the population. Which would most likely affect the frog population if acid rain changed the pH of the water?",Prey insects would become inedible.,Tadpoles would be unable to survive.,Breeding sites would become unavailable.,Predators would choose another food source.,B
148,Mercury_7248325,Which function do kidneys provide to maintain homeostasis?,the removal of excess heat from the body,the removal of carbon dioxide from the body,the removal of excess oxygen from the blood,the removal of nitrogenous wastes from the blood,D
149,Mercury_7001750,"While running, leg muscles work to move leg bones, and the skin helps to",regulate body temperature.,sense small changes in the heart rate.,transport nutrients to muscles.,maintain oxygen levels in the blood.,A
150,Mercury_7166898,"Rolanda is growing tomato plants in her garden. She has created a compost pile and has been adding compost around her tomato plants to help fertilize them. Compost is solid waste in which organic material is broken down by microorganisms in the presence of oxygen to where it can be safely stored, handled, and applied to the environment. On what does Rolanda primarily rely in order for composting to work?",producers,consumers,scavengers,decomposers,D
151,Mercury_7164605,"Some students were on a tour exploring the inside of a cave. While the students were in the cave, they realized they heard an echo every time that they spoke. Which most likely caused the echo to occur?",the accumulation of the sound waves,the diffraction of the sound waves,the refraction of the sound waves,the reflection of the sound waves,D
152,Mercury_7114048,A scientist uses angstrom units to measure the distance between two points. The scientist is most likely measuring the distance between two,atoms.,cities.,continents.,stars.,A
153,Mercury_7220745,"Based on the evidence available at the time, early models of the solar system stated that all objects in space orbited Earth. In the 16th century, an astronomer reevaluated the evidence and proposed a model of the solar system that is still in use. What part of this model corrected the mistake in previous solar system models?",The Sun is at the center of this model.,Earth is the largest object in this model.,This model contains more than one star.,This model shows that Earth is stationary.,A
154,Mercury_7137655,The hormone insulin is secreted by the pancreas. Which activity is most likely to trigger an increase in the levels of insulin circulating in the blood?,driving,eating,jogging,sleeping,B
155,Mercury_7094850,"In gym class a student kicks a soccer ball high into the air. As the ball goes upward, which type of energy is increasing?",kinetic energy,thermal energy,potential energy,mechanical energy,C
